16.3,20.307,34.02,-39.291,92.523,63.062,72.347,61.319,54.619,60.969,54.041,49.308,48.664,49.403,50.856,6.2956,31.697,26.583,16.3
15.572,20.096,33.753,-40.922,90.107,61.079,72.517,61.79,48.282,59.337,51.323,47.612,47.451,48.441,50.069,3.8068,32.465,24.07,15.572
14.882,19.89,33.476,-42.465,88.209,58.68,72.13,62.661,46.233,57.162,48.91,46.08,46.315,47.526,49.329,3.4071,33.102,21.812,14.882
14.232,19.688,33.188,-43.927,86.685,56.371,72.038,88.323,46.031,54.807,46.771,44.68,45.249,46.656,48.621,3.9638,33.641,19.727,14.232
13.614,19.491,32.895,-45.312,85.442,54.135,72,73.269,45.66,52.44,44.855,43.389,44.241,45.823,47.951,4.9056,34.101,17.822,13.614
7.708,19.297,32.587,-46.628,84.417,51.959,71.997,52.242,44.753,50.139,43.13,42.189,43.288,45.03,47.32,5.9742,34.498,16.044,7.708
6.7232,19.105,32.27,-47.879,83.564,49.834,72.024,51.269,43.389,47.944,41.561,41.067,42.382,44.269,46.729,7.0572,34.844,14.422,6.7232
6.0288,18.916,31.939,-49.069,82.851,47.748,72.082,38.187,46.884,45.874,40.127,40.011,41.519,43.539,46.182,8.1073,35.146,12.897,6.0288
5.4528,18.729,31.596,-50.204,82.252,45.696,72.172,13.766,48.926,43.93,38.803,39.014,40.695,42.841,45.708,9.1063,35.411,11.474,5.4528
4.9582,18.543,31.239,-51.287,81.749,43.669,72.3,22.251,48.82,42.111,37.573,38.068,39.907,42.17,-21.725,10.449,35.645,10.166,4.9582
4.5179,18.358,30.863,-52.322,81.325,41.663,72.475,53.918,48.176,40.409,36.425,37.169,39.152,41.526,-21.077,11.756,35.852,8.9291,4.5179
4.1209,18.174,30.477,-53.313,80.97,39.672,72.719,-89.177,47.26,38.821,35.346,36.312,38.427,40.908,-20.202,12.887,36.036,7.7713,4.1209
3.7602,17.989,30.075,-54.262,80.673,37.691,73.085,79.802,46.175,37.333,34.328,35.492,37.732,40.313,-19.193,13.886,36.199,6.6747,3.7602
3.4269,17.805,29.641,-55.172,80.426,35.716,75.255,-30.497,45.005,35.934,33.363,34.708,37.062,39.744,-18.111,14.783,36.345,5.6579,3.4269
3.118,17.619,29.199,-56.046,79.77,33.743,75.598,-86.153,43.759,34.623,32.446,33.955,36.418,39.197,-16.993,15.598,36.476,4.6984,3.118
2.8301,17.433,28.718,-56.887,79.108,31.768,76.124,61.438,42.495,33.388,31.571,33.232,35.797,38.673,-15.865,16.347,36.593,3.7871,2.8301
2.5614,17.244,28.227,-57.696,78.552,29.788,54.283,61.258,41.209,32.222,30.734,32.536,35.198,38.171,-14.742,17.042,36.697,2.9355,2.5614
2.3083,17.054,27.704,-58.476,78.082,27.8,55.232,29.496,39.919,31.115,29.932,31.865,34.622,37.69,-13.635,17.689,36.791,2.1256,2.3083
2.0698,16.86,27.135,-59.229,77.682,25.799,53.088,30.609,38.638,30.067,29.161,31.219,34.064,37.231,-12.55,18.297,36.876,1.3572,2.0698
1.8436,16.664,26.541,-59.956,77.343,83.714,46.178,30.969,37.373,29.067,28.421,30.595,33.528,36.795,-11.198,18.871,36.951,0.63182,1.8436
1.6293,16.461,25.907,-60.658,77.053,84.051,32.657,30.907,36.13,28.113,27.707,29.992,33.009,36.376,-9.7949,19.415,37.019,-0.058875,1.6293
